Date,Open,High,Low,Close,Volume
13/01/02,18888,19001,18755,18975,292269
13/01/03,19000,19001,18741,18947,182826
13/01/04,19000,19000,18750,18832,191315
13/01/07,19079,19184,18818,19025,296281
13/01/08,19010,19159,18806,18977,241453
13/01/09,19080,19140,18757,19024,685590
13/01/10,19200,19200,18833,19179,170331
13/01/11,19150,19640,19001,19567,395968
13/01/14,19690,19785,19420,19600,452333
13/01/15,19765,19787,18816,19199,878206
13/01/16,19485,19485,19004,19150,609027
13/01/17,19200,19388,18917,19335,659975
13/01/18,19201,19441,19129,19242,436689
13/01/21,19250,19338,18827,19338,246213
13/01/22,19343,19343,18999,19079,197993
13/01/23,19125,19125,18832,18900,727657
13/01/24,18823,19202,18800,19130,416774
13/01/25,19200,19688,19000,19542,510536
13/01/28,19650,19747,19463,19700,272596
13/01/29,19768,19768,19476,19600,235505
13/01/30,19600,19692,19000,19000,445987
13/01/31,19005,19476,18760,19476,888323
13/02/01,19330,19379,18849,19132,306949
13/02/04,19450,19450,18801,18850,425600
13/02/05,18800,19306,18800,19190,315382
13/02/06,19005,19327,18801,18900,340537
13/02/07,18915,19275,18906,19167,309610
13/02/08,19194,19407,19012,19012,225683
13/02/11,19392,19489,19040,19489,297893
13/02/12,19365,19471,19175,19206,233465
13/02/13,19245,19418,19009,19080,259531
13/02/14,19000,19127,18811,18945,254384
13/02/15,18900,19098,18805,18935,228287
13/02/18,18910,18987,18591,18970,408226
13/02/19,19000,19100,18720,19100,304272
13/02/20,19150,19441,18854,19068,530856
13/02/21,18777,19018,18413,18700,841941
13/02/22,18898,18939,18620,18800,330849
13/02/25,18940,19336,18812,18950,385341
13/02/26,18968,19122,18750,18995,570819
13/02/27,18920,19095,18773,19047,630413
13/02/28,19200,19274,19011,19269,1021864
13/03/01,19300,19494,19136,19455,450890
13/03/04,19500,19500,19101,19160,1278797
13/03/05,19204,19380,19073,19274,1818324
13/03/06,19274,19550,19274,19500,609656
13/03/07,19500,19650,19320,19592,1451517
13/03/08,19600,19998,19550,19850,558260
13/03/11,20000,20108,19776,20108,524843
13/03/12,20132,20132,19617,19859,439479
13/03/13,19751,20086,19360,19433,654048
13/03/14,19500,19649,19256,19320,1391693
13/03/15,19690,19690,19226,19254,2200384
13/03/18,19145,19630,19007,19457,1354896
13/03/19,19565,19689,19413,19543,417980
13/03/20,19543,19642,19270,19350,1404698
13/03/22,19358,19386,19096,19220,1507952
13/03/25,19201,19516,19201,19280,1132423
13/03/26,19282,19675,19282,19557,1330037
13/03/27,19551,19600,19261,19320,1230813
13/03/28,19044,19125,18888,19053,846660
13/04/02,19150,19234,18989,19030,693116
13/04/03,19060,19123,18710,18710,1194789
13/04/04,18750,18750,18350,18350,2095379
13/04/05,18352,18547,18130,18420,2291988
13/04/08,18465,18748,18311,18640,1033407
13/04/09,18644,18784,18515,18682,1035294
13/04/10,18660,19075,18660,18974,1104306
13/04/11,18800,18998,18720,18895,1063276
13/04/12,18750,18937,18490,18910,829381
13/04/15,18602,18875,18267,18500,943694
13/04/16,18650,18837,18406,18725,504714
13/04/17,18777,18860,18250,18420,794302
13/04/18,18401,18700,18328,18700,861032
13/04/19,18771,19040,18668,19015,1513409
13/04/22,19000,19000,18735,18800,765051
13/04/23,18913,18974,18602,18660,791778
13/04/24,18725,18725,18436,18625,640272
13/04/25,18500,18805,18500,18802,564511
13/04/26,18622,19100,18621,18993,328442
13/04/29,18894,19080,18700,18750,656582
13/04/30,18729,19064,18511,19064,1312297
13/05/02,18901,18940,18700,18720,915194
13/05/03,18750,18750,18088,18300,2097057
13/05/06,18290,18447,18102,18134,1578063
13/05/07,18150,18400,18150,18190,1128693
13/05/08,18275,18393,18135,18140,1015613
13/05/09,18250,18405,18139,18230,803430
13/05/10,18250,18493,18250,18400,976998
13/05/13,18589,18589,18322,18530,401522
13/05/14,18420,18642,18327,18642,631972
13/05/15,18543,18641,18350,18480,1051323
13/05/16,18350,18623,18350,18600,1071317
13/05/17,18447,18650,18350,18462,1168874
13/05/20,18483,18558,17687,17810,1396203
13/05/21,17901,18101,17901,18100,1552657
13/05/22,18106,18259,17915,17951,1304721
13/05/23,17799,17799,17600,17710,673415
13/05/24,17835,18247,17750,17930,1243609
13/05/27,18123,18130,17610,17996,567653
13/05/28,18060,18177,17783,17890,831252
13/05/29,17850,17980,17626,17801,1476328
13/05/30,17700,18053,17700,18000,1202816
13/05/31,17865,18167,17500,18167,1997105
13/06/03,18050,18050,17279,17500,1223285
13/06/04,17580,17824,17575,17700,1192310
13/06/05,17688,17715,17337,17450,1309984
13/06/06,17350,17490,17000,17100,1738358
13/06/07,17000,17550,16975,17292,1117709
13/06/10,17304,17421,16972,17032,814061
13/06/11,17100,17120,16625,16820,2317247
13/06/12,16850,17038,16722,16840,1127835
13/06/13,16564,17161,16346,16700,1066816
13/06/14,16870,17173,16668,16788,1322328
13/06/18,16845,17456,16738,17220,921240
13/06/19,17190,17377,16800,17190,1300199
13/06/20,16936,17198,16741,16900,1773974
13/06/21,16760,17147,16540,16771,2040296
13/06/24,16700,16839,16600,16650,538424
13/06/25,16700,17079,16650,16893,735436
13/06/26,16890,17395,16610,17300,1129558
13/06/27,17100,17505,17100,17500,1181729
13/06/28,17441,17599,17297,17553,1097319
13/07/01,17350,17800,17216,17700,792739
13/07/02,17835,17835,17140,17700,781541
13/07/03,17640,17640,17029,17029,823630
13/07/04,17211,17420,17055,17201,639612
13/07/05,17240,17240,16826,16950,646207
