Date,Open,High,Low,Close,Volume
13/01/02,1985,1990,1963,1975,514952
13/01/03,1974,1976,1960,1970,584990
13/01/04,1969,2011,1954,2000,3130465
13/01/07,2005,2010,1977,1990,1483949
13/01/08,2000,2000,1986,2000,1269313
13/01/09,2000,2000,1976,1991,2462595
13/01/10,1975,1993,1921,1941,1744480
13/01/11,1921,1963,1921,1950,846919
13/01/14,1949,1985,1949,1976,1392393
13/01/15,1970,1985,1930,1945,2690721
13/01/16,1930,1970,1930,1950,1641209
13/01/17,1945,1972,1945,1945,1760672
13/01/18,1954,1965,1946,1965,1094020
13/01/21,1962,1972,1945,1960,1306721
13/01/22,1951,1964,1945,1955,746873
13/01/23,1976,2000,1961,2000,3336598
13/01/24,2004,2020,1988,1999,5613648
13/01/25,2000,2009,1985,1994,2543798
13/01/28,1955,1987,1950,1973,2782164
13/01/29,1975,1983,1967,1975,1079905
13/01/30,1975,1975,1946,1949,959292
13/01/31,1975,1999,1940,1960,6057591
13/02/01,1968,1981,1965,1973,1636507
13/02/04,1975,2014,1965,2000,3507184
13/02/05,2000,2016,1989,2014,4039075
13/02/06,2014,2018,2000,2011,1048169
13/02/07,2010,2018,2005,2008,2319782
13/02/08,2005,2008,1991,1995,903213
13/02/11,1997,2000,1978,1989,607726
13/02/12,1995,1995,1971,1987,941204
13/02/13,1991,2000,1972,1990,1642242
13/02/14,1991,1999,1965,1980,992811
13/02/15,1980,1995,1966,1983,402073
13/02/18,1983,1990,1969,1970,1004904
13/02/19,1985,1999,1971,1990,872329
13/02/20,1990,2000,1979,1990,989104
13/02/21,1985,1990,1964,1965,2018555
13/02/22,1967,1993,1950,1968,1274758
13/02/25,1985,1985,1939,1948,1008784
13/02/26,1950,1951,1910,1945,2848484
13/02/27,1959,1991,1930,1981,3784129
13/02/28,1995,2010,1981,2000,6938137
13/03/01,1995,2019,1991,2000,4098900
13/03/04,1996,2010,1982,1999,1559143
13/03/05,1994,2014,1991,1999,1300408
13/03/06,1995,2005,1966,1990,2436004
13/03/07,1999,2008,1990,2001,3331977
13/03/08,2000,2090,2000,2047,4881692
13/03/11,2050,2110,2050,2100,3216310
13/03/12,2100,2100,2052,2080,1667416
13/03/13,2099,2099,2041,2075,2142077
13/03/14,2080,2080,2060,2065,1096699
13/03/15,2070,2089,2054,2054,3088113
13/03/18,2042,2053,2025,2041,738275
13/03/19,2049,2075,2030,2075,2445259
13/03/20,2060,2081,2037,2040,3070442
13/03/22,2040,2051,1991,2000,2521462
13/03/25,2005,2065,2001,2021,4048503
13/03/26,2040,2047,2023,2040,2365364
13/03/27,2050,2050,1982,1985,3157562
13/03/28,1986,2020,1966,1983,1871287
13/04/02,1995,2027,1990,2010,1556484
13/04/03,2030,2030,1962,1986,1233677
13/04/04,1990,1990,1970,1979,1268688
13/04/05,1979,1979,1936,1940,1678062
13/04/08,1940,1980,1940,1974,1312557
13/04/09,1980,1985,1970,1975,2152667
13/04/10,1971,2000,1968,2000,2444385
13/04/11,2000,2015,1995,2000,2366805
13/04/12,2007,2020,1995,1995,1649765
13/04/15,1990,1995,1940,1964,3000177
13/04/16,1976,1984,1964,1980,1867353
13/04/17,2000,2000,1951,1980,4377277
13/04/18,1971,1999,1961,1980,4028349
13/04/19,1990,1990,1973,1980,5437968
13/04/22,1982,1985,1974,1980,1582239
13/04/23,1966,1987,1964,1980,3287974
13/04/24,1989,1997,1979,1990,8944923
13/04/25,1997,2015,1995,1997,3711698
13/04/26,2007,2024,2002,2013,1804205
13/04/29,2013,2040,2005,2030,3219304
13/04/30,2036,2056,2021,2040,6817659
13/05/02,2048,2069,2043,2053,3368643
13/05/03,2055,2068,2042,2049,4015297
13/05/06,2060,2084,2050,2060,5100416
13/05/07,2070,2070,2024,2025,2384173
13/05/08,2025,2054,2025,2035,3077836
13/05/09,2038,2040,2022,2030,2097209
13/05/10,2030,2048,2010,2048,1815772
13/05/13,2050,2050,2022,2029,2032830
13/05/14,2029,2042,2020,2028,4263636
13/05/15,2030,2112,2027,2110,9970670
13/05/16,2113,2201,2081,2201,5643104
13/05/17,2222,2301,2220,2280,7157318
13/05/20,2301,2312,2201,2213,2978438
13/05/21,2210,2266,2210,2252,3259959
13/05/22,2280,2334,2268,2320,2992854
13/05/23,2316,2317,2280,2295,2812950
13/05/24,2295,2328,2276,2280,1553293
13/05/27,2281,2295,2263,2280,1304924
13/05/28,2266,2440,2266,2375,3886992
13/05/29,2377,2385,2306,2325,1891619
13/05/30,2305,2320,2280,2295,4922141
13/05/31,2299,2365,2276,2340,8529513
13/06/03,2336,2336,2251,2295,4023815
13/06/04,2317,2416,2316,2416,3487395
13/06/05,2390,2461,2389,2415,5452295
13/06/06,2412,2422,2356,2379,4695056
13/06/07,2368,2400,2306,2335,4437395
13/06/10,2323,2420,2320,2373,4856139
13/06/11,2375,2396,2275,2280,3414339
13/06/12,2291,2315,2280,2309,2988649
13/06/13,2285,2300,2256,2270,5430237
13/06/14,2275,2299,2252,2294,2758889
13/06/18,2294,2375,2294,2375,6093226
13/06/19,2375,2376,2280,2300,3186017
13/06/20,2260,2283,2178,2210,3197953
13/06/21,2192,2220,2147,2160,4028926
13/06/24,2164,2197,2125,2170,3758295
13/06/25,2151,2199,2151,2160,2845245
13/06/26,2180,2270,2170,2248,2308307
13/06/27,2247,2261,2229,2261,2165174
13/06/28,2256,2324,2256,2304,4760357
13/07/01,2320,2378,2299,2331,2080319
13/07/02,2330,2356,2320,2342,1227378
13/07/03,2343,2345,2259,2323,2469561
13/07/04,2306,2336,2255,2255,782297
13/07/05,2265,2280,2235,2255,607472
13/07/08,2250,2277,2250,2250,1823882
13/07/09,2256,2345,2256,2345,1356535
13/07/10,2337,2337,2286,2310,1463120
13/07/11,2325,2325,2291,2307,1012869
13/07/12,2293,2338,2292,2330,1816439
13/07/15,2300,2348,2300,2348,617688
13/07/16,2348,2355,2318,2352,596731
13/07/17,2347,2380,2323,2380,1612081
13/07/18,2375,2428,2343,2395,3181069
13/07/19,2400,2400,2348,2348,615635
13/07/22,2360,2380,2320,2336,500834
13/07/23,2346,2346,2264,2298,1621874
13/07/24,2304,2304,2254,2260,1402436
13/07/25,2270,2307,2250,2271,491966
13/07/26,2309,2309,2207,2286,2055841
13/07/29,2295,2295,2241,2241,615120
13/07/30,2300,2308,2246,2288,1284211
13/07/31,2288,2340,2276,2340,1838940
13/08/01,2331,2334,2294,2300,1515588
13/08/02,2328,2330,2297,2300,1527584
13/08/05,2317,2331,2298,2319,1481456
13/08/06,2325,2325,2293,2311,875630
13/08/07,2312,2317,2300,2303,208742
13/08/08,2323,2374,2314,2374,1044430
13/08/12,2374,2398,2302,2302,3122415
13/08/13,2330,2350,2296,2350,2428849
13/08/14,2351,2372,2322,2370,1581760
13/08/15,2359,2360,2324,2325,1156428
13/08/16,2325,2352,2322,2352,954318
13/08/19,2356,2395,2336,2395,1244330
13/08/20,2370,2394,2345,2385,2559454
13/08/21,2379,2471,2360,2471,1099672
13/08/22,2460,2465,2383,2434,1837876
13/08/23,2429,2429,2350,2350,1743790
13/08/26,2350,2380,2345,2372,478202
13/08/27,2360,2379,2344,2355,2159624
