Date,Open,High,Low,Close,Volume
13/01/02,4520,4550,4509,4545,2035263
13/01/03,4550,4558,4516,4549,1488016
13/01/04,4512,4600,4512,4598,1498258
13/01/07,4600,4640,4568,4609,1705254
13/01/08,4625,4631,4601,4631,1989724
13/01/09,4648,4721,4635,4721,4170952
13/01/10,4721,4739,4669,4684,1558505
13/01/11,4678,4699,4656,4675,2808201
13/01/14,4695,4730,4656,4702,2789952
13/01/15,4720,4723,4538,4606,4065392
13/01/16,4610,4650,4560,4641,3089244
13/01/17,4600,4745,4600,4703,4271904
13/01/18,4705,4735,4663,4710,4171400
13/01/21,4690,4730,4651,4728,2325783
13/01/22,4725,4728,4668,4700,3245236
13/01/23,4700,4715,4678,4690,2416877
13/01/24,4680,4720,4657,4712,4062608
13/01/25,4692,4739,4681,4705,2739645
13/01/28,4724,4775,4710,4745,4636089
13/01/29,4740,4759,4710,4735,4167593
13/01/30,4748,4758,4630,4641,4662369
13/01/31,4665,4665,4517,4554,5913393
13/02/01,4551,4593,4480,4499,4354977
13/02/04,4549,4549,4393,4419,3614979
13/02/05,4448,4474,4400,4405,5288653
13/02/06,4435,4445,4333,4360,7303777
13/02/07,4390,4419,4330,4399,5853175
13/02/08,4402,4453,4333,4398,3434481
13/02/11,4370,4438,4370,4371,2989036
13/02/12,4392,4421,4291,4320,2384329
13/02/13,4306,4355,4255,4294,3563742
13/02/14,4329,4329,4250,4300,2383971
13/02/15,4320,4364,4251,4309,2210559
13/02/18,4336,4422,4324,4398,5466012
13/02/19,4405,4442,4375,4390,2416768
13/02/20,4429,4478,4394,4455,4733793
13/02/21,4448,4480,4366,4400,6425084
13/02/22,4399,4477,4354,4385,3585701
13/02/25,4368,4493,4361,4455,2250028
13/02/26,4401,4475,4401,4465,3391132
13/02/27,4490,4495,4339,4415,4514556
13/02/28,4475,4528,4430,4528,4100676
13/03/01,4530,4717,4476,4650,6304862
13/03/04,4600,4679,4592,4634,3662394
13/03/05,4695,4755,4636,4731,3436968
13/03/06,4730,4819,4726,4770,4037916
13/03/07,4870,4888,4756,4790,3483340
13/03/08,4820,4860,4797,4825,3286496
13/03/11,4850,4892,4826,4861,3034726
13/03/12,4900,4900,4775,4812,2634124
13/03/13,4812,4844,4751,4785,4254538
13/03/14,4780,4834,4763,4780,3364354
13/03/15,4780,4809,4687,4687,6753623
13/03/18,4687,4775,4615,4738,2706014
13/03/19,4765,4776,4685,4718,3433449
13/03/20,4703,4728,4655,4655,8508673
13/03/22,4655,4702,4584,4650,4377597
13/03/25,4680,4726,4664,4696,2595338
13/03/26,4720,4787,4702,4760,4733864
13/03/27,4755,4806,4607,4635,2586988
13/03/28,4640,4718,4607,4718,3029570
13/04/02,4730,4816,4679,4795,3558794
13/04/03,4795,4796,4603,4603,3892221
13/04/04,4639,4731,4605,4628,4176126
13/04/05,4629,4641,4407,4492,4802888
13/04/08,4506,4586,4490,4510,3179450
13/04/09,4518,4570,4464,4511,3184425
13/04/10,4520,4620,4520,4553,6945298
13/04/11,4594,4618,4511,4581,2904371
13/04/12,4589,4614,4513,4568,4368710
13/04/15,4530,4567,4466,4482,4103237
13/04/16,4509,4629,4504,4629,4177597
13/04/17,4622,4634,4553,4574,5643751
13/04/18,4600,4627,4544,4575,4659094
13/04/19,4610,4679,4604,4660,6421232
13/04/22,4544,4544,4426,4465,10399613
13/04/23,4500,4553,4422,4500,5793046
13/04/24,4540,4556,4500,4546,3655886
13/04/25,4514,4592,4514,4570,4578775
13/04/26,4569,4640,4541,4541,3876483
13/04/29,4533,4585,4506,4568,2505734
13/04/30,4593,4599,4510,4599,5299008
13/05/02,4545,4621,4535,4621,4619245
13/05/03,4630,4630,4537,4600,8243203
13/05/06,4600,4626,4590,4600,3404676
13/05/07,4606,4618,4534,4575,4897382
13/05/08,4583,4668,4564,4610,6011002
13/05/09,4638,4697,4591,4630,2698730
13/05/10,4669,4688,4640,4650,5588397
13/05/13,4675,4688,4642,4650,3101477
13/05/14,4655,4775,4655,4730,16144893
13/05/15,4750,4876,4740,4862,6765144
13/05/16,4865,4968,4835,4967,4397441
13/05/17,4950,4983,4915,4960,3828559
13/05/20,5024,5024,4826,4881,4362977
13/05/21,4874,4953,4822,4947,3130068
13/05/22,4955,4974,4864,4900,2168594
13/05/23,4815,4902,4769,4802,3855972
13/05/24,4802,4865,4738,4771,2286287
13/05/27,4771,4823,4747,4820,1706958
13/05/28,4785,4941,4770,4928,3135613
13/05/29,4890,4917,4743,4763,5090504
13/05/30,4730,4783,4704,4757,4170864
13/05/31,4750,4804,4687,4740,9412215
13/06/03,4760,4760,4654,4707,6512620
13/06/04,4749,4761,4693,4720,3112565
13/06/05,4700,4854,4666,4822,7288753
13/06/06,4765,4819,4635,4723,9274660
13/06/07,4697,4769,4658,4760,4291655
13/06/10,4757,4780,4688,4709,3163000
13/06/11,4725,4725,4445,4469,6189063
13/06/12,4469,4524,4376,4390,5544032
13/06/13,4320,4364,4230,4278,12106656
13/06/14,4320,4402,4300,4325,8876335
13/06/18,4352,4566,4319,4500,7060049
13/06/19,4500,4518,4383,4500,6674802
13/06/20,4395,4432,4250,4290,9193399
13/06/21,4310,4343,4220,4225,8757452
13/06/24,4202,4259,4051,4133,4976754
13/06/25,4189,4360,4080,4320,7970036
13/06/26,4301,4495,4257,4462,6755030
13/06/27,4500,4501,4363,4470,5241737
13/06/28,4459,4600,4428,4600,7574955
13/07/01,4510,4734,4510,4691,4526738
13/07/02,4650,4719,4575,4709,4175366
13/07/03,4680,4680,4441,4521,3825723
13/07/04,4560,4700,4540,4700,2347260
13/07/05,4705,4705,4526,4526,3129919
13/07/08,4600,4616,4498,4589,5208970
13/07/09,4589,4639,4552,4587,2793362
13/07/10,4623,4670,4516,4599,2359100
13/07/11,4695,4722,4641,4668,4885798
13/07/12,4694,4752,4643,4752,5681040
13/07/15,4717,4793,4665,4750,2492748
13/07/16,4776,4776,4667,4705,2114287
13/07/17,4749,4800,4678,4800,3726830
13/07/18,4790,4889,4742,4889,3455331
13/07/19,4864,4864,4664,4689,3551191
13/07/22,4679,4780,4642,4717,3389071
13/07/23,4780,4829,4740,4760,3325293
13/07/24,4764,4780,4619,4640,2279363
13/07/25,4680,4700,4555,4625,2440291
13/07/26,4625,4700,4563,4647,2610550
13/07/29,4685,4719,4640,4693,1870444
13/07/30,4693,4721,4620,4620,1646770
13/07/31,4625,4753,4589,4753,4300544
13/08/01,4721,4784,4685,4740,2630775
13/08/02,4765,4850,4721,4791,5244347
13/08/05,4775,4846,4681,4695,2611295
13/08/06,4695,4722,4612,4655,2437859
13/08/07,4625,4690,4583,4596,2345338
13/08/08,4654,4709,4610,4610,2353594
13/08/12,4659,4723,4580,4700,2457167
13/08/13,4680,4790,4659,4700,5618928
13/08/14,4725,4775,4700,4750,2861355
13/08/15,4770,4770,4640,4644,2046118
13/08/16,4644,4740,4620,4736,2493216
13/08/19,4726,4738,4610,4638,1724371
13/08/20,4611,4685,4564,4607,2195484
