Date,Open,High,Low,Close,Volume
13/01/02,18950,19321,18950,18990,29044
13/01/03,19000,19001,18979,18990,7150
13/01/04,19000,19000,18482,18597,14707
13/01/07,19000,19000,18654,18850,7530
13/01/08,19000,19000,18736,19000,8986
13/01/09,18939,19000,18830,19000,13379
13/01/10,19000,19000,18700,18700,12165
13/01/11,18754,18949,18754,18800,6106
13/01/14,18976,19000,18731,18912,11753
13/01/15,19000,19000,18700,18900,8678
13/01/16,18989,19000,18801,19000,10094
13/01/17,18993,19000,18676,18680,11236
13/01/18,18699,18799,18000,18590,5890
13/01/21,18256,18497,17406,18100,52047
13/01/22,18976,18976,18100,18300,10457
13/01/23,18304,18450,18033,18100,33418
13/01/24,18100,18990,18030,18200,52643
13/01/25,18601,18662,18150,18150,5041
13/01/28,18401,18800,18308,18587,12918
13/01/29,18800,18800,18650,18650,13973
13/01/30,18800,19000,18700,18701,20436
13/01/31,18292,19700,17879,19490,55036
13/02/01,18440,19104,18310,18400,29211
13/02/04,18102,18786,18102,18200,11835
13/02/05,18600,18820,18200,18399,11517
13/02/06,18471,18860,18200,18200,10792
13/02/07,18138,18779,18138,18320,15179
13/02/08,18406,18601,18200,18225,11736
13/02/11,18252,18723,18209,18500,8735
13/02/12,18513,18698,18239,18540,116770
13/02/13,18387,18599,18018,18400,23141
13/02/14,18300,18477,18300,18400,16849
13/02/15,18399,18649,18399,18550,6033
13/02/18,18649,18705,18550,18665,15847
13/02/19,18750,18940,18700,18900,28415
13/02/20,19000,19488,18400,18400,88615
13/02/21,18251,18745,18167,18200,19316
13/02/22,18300,18400,17800,18201,32869
13/02/25,18396,18954,18306,18374,20997
13/02/26,18086,18398,18081,18250,13216
13/02/27,18081,18393,17900,18029,38202
13/02/28,18025,18650,18025,18500,85096
13/03/01,18550,19390,18550,19230,48692
13/03/04,19230,19230,18900,19101,35823
13/03/05,19101,19600,19051,19505,408616
13/03/06,19500,20190,19500,19821,68166
13/03/07,19320,20677,19320,20250,107570
13/03/08,20242,20899,20050,20580,262558
13/03/11,19835,21110,18693,21047,303176
13/03/12,20434,21299,20102,21255,112128
13/03/13,21256,21901,21255,21700,138299
13/03/14,21525,21525,20883,21060,162821
13/03/15,20960,20960,20000,20001,92071
13/03/18,20000,20875,19157,19500,159137
13/03/19,19599,19601,19150,19450,160576
13/03/20,19500,19665,19497,19500,162007
13/03/22,19400,19600,19143,19450,19581
13/03/25,19508,19700,19300,19495,24129
13/03/26,19600,19600,19375,19490,18393
13/03/27,19500,19599,19009,19147,60834
13/03/28,19399,19488,19001,19218,59658
13/04/02,19218,19500,19042,19305,41612
13/04/03,19320,19439,19000,19200,31498
13/04/04,19500,19500,19120,19400,22398
13/04/05,19300,19400,19020,19350,41484
13/04/08,19350,19423,18998,19048,38425
13/04/09,19048,19300,18900,18900,36764
13/04/10,18907,19200,18895,19040,33975
13/04/11,19196,19200,19125,19150,22725
13/04/12,19200,19300,18879,18879,31272
13/04/15,18900,18900,18450,18460,21368
13/04/16,18699,18999,18600,18800,77035
13/04/17,18838,18983,18690,18800,44247
13/04/18,18700,18870,18511,18612,45164
13/04/19,18663,18798,18529,18600,18131
13/04/22,18700,18799,18203,18220,55729
13/04/23,18282,18791,18247,18390,188874
13/04/24,18306,18504,18272,18350,58098
13/04/25,18473,18600,18336,18450,91821
13/04/26,18450,18791,18420,18451,21040
13/04/29,18500,18500,18350,18350,14070
13/04/30,18449,18540,17620,17620,222196
13/05/02,18200,18501,18000,18500,46683
13/05/03,18468,18872,18450,18550,44480
13/05/06,18600,18774,18360,18550,42436
13/05/07,18599,18800,18232,18800,33344
13/05/08,18873,19378,18870,19320,58939
13/05/09,19375,19680,18991,19141,20455
13/05/10,19189,19200,18985,19050,6500
13/05/13,18985,19210,18850,19210,67846
13/05/14,19448,19699,18600,19699,27571
13/05/15,19650,20176,19593,19900,29836
13/05/16,20000,20000,18979,19867,31395
13/05/17,19342,20002,18906,19544,14550
13/05/20,19350,19700,18301,19532,54796
13/05/21,19600,19800,19600,19650,7302
13/05/22,19650,19862,19303,19700,15600
13/05/23,19400,19600,18352,18950,24949
13/05/24,19231,19289,18825,18885,19191
13/05/27,18829,18970,18676,18900,28687
13/05/28,18902,19100,18900,19000,23309
13/05/29,19001,19155,18101,18600,228707
13/05/30,18500,18757,18218,18500,45690
13/05/31,18401,18520,17935,17935,164239
13/06/03,18012,18225,17801,17810,162923
13/06/04,17800,18290,17800,17915,36645
13/06/05,17992,18039,17631,17600,174160
13/06/06,17746,17746,16750,16969,94153
13/06/07,17255,17499,16825,17213,203877
13/06/10,17500,17999,17067,17067,25640
13/06/11,17150,17259,16696,16753,46336
13/06/12,16950,17287,16950,17250,23764
13/06/13,17100,18120,17100,18030,97142
13/06/14,18246,19800,18033,19260,109337
13/06/18,19178,19711,18921,19711,43158
13/06/19,19500,20057,18936,20006,67900
13/06/20,19400,19879,19287,19500,125303
13/06/21,19289,19536,18441,19400,410016
13/06/24,18351,18692,18265,18400,29490
13/06/25,18360,18904,18360,18840,32883
13/06/26,19021,19499,18600,19190,51782
13/06/27,19516,19608,19101,19289,17863
13/06/28,19336,19399,18933,19105,15863
13/07/01,18820,19400,18820,19349,23961
13/07/02,19371,19400,19193,19339,6715
13/07/03,19328,19330,18721,18952,26212
13/07/04,19190,19321,19190,19316,9431
13/07/05,19400,19730,19000,19150,25842
13/07/08,19000,19740,19000,19310,29324
13/07/09,19769,19770,19179,19500,12267
13/07/10,19500,19800,19310,19710,67023
13/07/11,19800,19899,19280,19733,16966
13/07/12,19749,19800,19613,19800,10884
13/07/15,19800,20299,19650,20090,74195
13/07/16,19798,20320,19609,19609,9567
13/07/17,20000,20000,19530,19610,11106
13/07/18,19610,20438,19524,19900,24325
13/07/19,19891,19900,19208,19208,18486
13/07/22,19700,19899,19202,19386,11308
13/07/23,19850,19960,19265,19868,13274
13/07/24,19953,20270,19552,19650,6491
13/07/25,19700,19900,19354,19700,27802
13/07/26,19424,19760,19400,19400,11852
13/07/29,19700,19700,19300,19301,27989
13/07/30,19300,19516,19300,19307,7737
13/07/31,19328,19328,18501,18501,47906
13/08/01,18755,19298,18261,18580,31619
13/08/02,18702,19139,18526,18720,22056
13/08/05,18999,19280,18650,18800,11436
13/08/06,19000,19100,18795,18945,18298
13/08/07,19270,19300,18723,18800,20791
13/08/08,18800,18974,18637,18722,10257
13/08/12,19134,19446,18560,18675,25503
13/08/13,18675,18995,18600,18995,45190
13/08/14,18951,18951,18581,18700,30938
13/08/15,18700,18990,18501,18800,27997
13/08/16,18700,18800,18650,18700,18344
13/08/19,18700,18949,18650,18700,6337
13/08/20,18655,18750,18368,18450,7411
13/08/21,18701,18863,18000,18462,8807
13/08/22,18462,18700,18291,18600,14535
13/08/23,18600,18882,18450,18533,44972
13/08/26,18525,19050,18452,18700,37611
13/08/27,18552,18700,18551,18700,48626
13/08/28,18500,18600,17710,18200,66578
13/08/29,18091,18275,18090,18212,20561
13/08/30,18200,18275,18200,18210,9030
13/09/02,18200,18994,18200,18532,14148
13/09/03,18532,18697,18299,18420,13173
13/09/04,18307,18473,18253,18400,40656
13/09/05,18648,18800,18594,18800,7305
13/09/06,18601,18755,18504,18700,20607
13/09/09,18699,18800,18609,18700,6406
13/09/10,18700,18900,18518,18838,49935
13/09/11,18899,18912,18701,18811,32434
13/09/12,18912,18928,18700,18900,13080
13/09/13,19000,19100,18900,19000,2882
13/09/16,19050,19419,19050,19233,9061
13/09/17,19395,19400,19101,19300,10404
13/09/18,19005,19424,18951,19100,22354
13/09/19,19200,19427,19200,19390,13431
13/09/20,19386,19999,18923,19300,32290
13/09/23,19802,19854,19100,19100,13980
13/09/25,18810,19990,18810,19400,15015
13/09/26,19995,19995,18999,19201,11943
13/09/27,19105,19609,19003,19003,11075
13/09/30,19380,19990,18700,18700,40206
13/10/01,19595,19595,18699,18749,20185
13/10/02,18799,18850,18600,18800,8867
13/10/03,18700,19280,18700,19255,8481
13/10/04,19000,19302,19000,19200,19505
13/10/07,19371,19464,19200,19350,12608
13/10/08,19201,19465,19201,19399,20686
13/10/09,19301,19787,19300,19710,152722
13/10/10,19500,19601,19223,19330,28477
13/10/11,19381,19549,19330,19330,5934
13/10/14,19221,19501,19221,19400,3009
13/10/15,19400,19786,19400,19640,17179
13/10/16,19605,20070,19547,19776,30190
13/10/17,19770,19780,19500,19501,62938
13/10/18,19899,19899,19500,19700,1373
13/10/21,19699,19701,19103,19700,23773
13/10/22,19203,19820,19203,19305,29179
13/10/23,19300,19800,19300,19655,12195
13/10/24,19800,19800,19498,19700,57110
13/10/25,18873,19696,18873,19400,12623
13/10/28,19401,19550,19300,19400,6776
13/10/29,19184,19697,18713,19326,47732
13/10/30,19220,19698,19220,19500,6166
13/10/31,19500,19500,18924,19016,85495
13/11/01,19529,19664,19100,19250,10450
13/11/04,19257,19698,19100,19100,16784
13/11/05,19121,19125,19101,19105,4318
13/11/06,19100,19274,18786,19000,62431
13/11/07,18999,19499,18974,19010,19090
13/11/08,19000,19200,18972,19000,34278
13/11/11,19000,19149,18500,19049,14900
13/11/12,19150,19155,19000,19000,9866
13/11/13,19000,19100,18871,18999,34497
13/11/14,18750,18900,18598,18850,38676
13/11/15,18800,19199,18800,18900,13070
13/11/18,18904,19200,18904,19200,14886
13/11/19,19150,19200,18950,18950,1856
